Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DX-A7EQ-01A-11R-A466-07	0.0380712820270515	0	0	0.0322957936148849	0.0348038376394333	0	0	0	0	0	0.0512475573046489	0.00107136748278164	0.00518410933470248	0.272823371446648	0	0.534560577497444	0	0	0.0299421036524045	0	0	0	9999	0.00926722899801626	1.14668446097243
TCGA-WP-A9GB-01A-11R-A37L-07	0.0429567897054631	0	0	0	0	0.274915686888452	0	0.0367652008301564	0.00845452229113805	0	0.0358556203233785	0.0464751993150506	0.0613608672907647	0.190977914583516	0.0048490256793696	0	0	0	0.297389173092711	0	0	0	9999	0.00617174913428031	1.09067845728123
TCGA-K1-A42W-01A-11R-A24X-07	0.0520247999737122	0	0	0.0396169128129253	0	0.215222918973231	0	0.00251294551333179	0.00349713919967682	0	0.0214553370255232	0.010456166334476	0.0895523905380543	0	0.0294536759846315	0.409435817168032	0	0	0.126771896476405	0	0	0	9999	0.13370348080906	1.02863148031326
TCGA-RN-AAAQ-01A-21R-A39D-07	0.033348651354167	0	0	0	0	0.164889727859007	0	0	0	0	0.0699673650206123	0	0.18624676302018	0	0	0.527456567548612	0	0.0180909251974218	0	0	0	0	9999	0.30910627604161	0.965802126183147
TCGA-HS-A5N8-01A-11R-A26T-07	0.0398086360444816	0	0	0.0386719504924141	0	0.166695324462355	0.0538127889569929	0.00196358924084461	0	0	0.0262945518857383	0	0.0589728168628167	0	0	0.522114385293686	0	0.0605129453290367	0.031153011431634	0	0	0	9999	0.100495145237831	1.0522566449488
TCGA-DX-A23Y-01A-11R-A27Q-07	0.0559870015744057	0	0.00326095704769837	0.22606350542892	0	0.0732736377718162	0.0181171776326809	0.0171433000526368	0.0437537614470225	0	0.0275006110354149	0	0.0283680179050578	0	0.0965824323758589	0.409949597728488	0	0	0	0	0	0	9999	0.334807050109075	0.948621650645558
TCGA-DX-A1L3-01A-11R-A24X-07	0.0454456780811198	0	0.000509724018593744	0.0376103844663733	0	0.127286231004725	0	0.00604410999559684	0.00745677231971699	0	0.00583284460838523	0	0.0338296085792376	0	0.0952896131154619	0.471847091274502	0	0	0.168847942536288	0	0	0	9999	0.273657522280846	0.975950238994486
TCGA-K1-A3PN-01A-11R-A22K-07	0.0437640523839573	0	0.00120904397461598	0.0402835360027172	0	0.331125758706664	0.0265268435075775	0	0	0	0.0492523438116814	0	0.0720632027841477	0	0.00660662877435525	0.266440884783745	0.00839969017650463	0.0706678741063894	0.0830768332126365	0	0.000583307775008003	0	9999	0.0356484030951757	1.06256378598095
TCGA-QQ-A8VD-01A-42R-A39D-07	0.0729517537281133	0	0	0.000241006752939058	0	0.125537836555643	0	0.0150027377654884	0	0	0.0287757187702206	0.0320093362501164	0.0171227601323605	0.161446175184202	0	0.386294401328805	0	0.00443226262069448	0.156186010911417	0	0	0	9999	0.0351261526089392	1.07963921395026
TCGA-DX-AB30-01A-11R-A39D-07	0.0738042472984582	0	0	0.030811105417569	0	0.203839849008131	0	0.013822684111112	0.0460525950984175	0	0	0.0253877653327848	0.00243327728059275	0.228924716611515	0.0520214952509189	0.247364482823716	0	0.00913907257459088	0.0663987091921943	0	0	0	9999	0.00144062396442213	1.09014604477087
TCGA-DX-A8BZ-01A-11R-A37L-07	0.0201793978405927	0	0	0.0116784119197109	0	0.00374240196156391	0.00286056730814817	0.0113438869234497	0.0245144138397123	0	0.026408932134601	0	0	0.401580196856924	0.00236796286451952	0.467198256086777	0	0	0.0271784515810969	0	0	0.0009471206829044	9999	0.735546193273329	0.687337174655148
TCGA-DX-A23T-01A-11R-A26T-07	0.139566087504626	0	0.00663190415915117	0.119551590951667	0	0.161492651130242	0.028481924163407	0	0.0106703507806182	0	0	0	0.0789281521148676	0	0.0269640205873639	0.374919587150715	0	0.00268268071876163	0.0420541180354494	0	0	0.00805693270313202	9999	0.217333857717156	0.994665180243991
TCGA-X6-A7WA-01A-12R-A355-07	0.0467312847483176	0	0	0.0248430914714833	0	0.192629355858955	0	0.000454608439686368	0.0261618600912804	0	0.00388916515045933	0.03783844988059	0.184172831419332	0.00637333381009729	0.0206046797313529	0.347298815731856	0.0184226065857506	0.00283106340233115	0.0877488536785077	0	0	0	9999	0.0407881857160984	1.06443758715089
TCGA-3B-A9HZ-01A-11R-A39D-07	0.0649439882473651	0	0.00658751849725493	0.117976825766226	0	0.198789768688887	0.0587917720040953	0	0.00472345859477966	0	0	0.0059417122080801	0.062486549792925	0.0195257534364333	0.025614264999278	0.244350215842093	0	0.0160076459468962	0.172142520429498	0	0	0.00211800554618765	9999	0.184479039169516	1.00245652736821
TCGA-3B-A9HR-01A-11R-A38C-07	0.0549784182391994	0	0	0.025299789110013	0	0.365753368273453	0	0	0	0	0.0235113531845594	0.00242610031764972	0.0466962889388446	0.0405930002266875	0	0.230704598784019	0	0.0191134924573379	0.190923590468236	0	0	0	9999	0.0021498134932186	1.07975308703242
TCGA-Z4-AAPF-01A-11R-A39D-07	0.0345708321670127	0	0	0.096912307307157	0	0.155466749265203	0	0.0203427913610361	0.075995350784717	0	0.00384749929126305	0.0304563621453754	0	0.480702024214509	0	0.0881634404567227	0	0	0.0135426430070046	0	0	0	9999	0.404029347515295	0.925796185988618
