Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-DX-A7ES-01A-31R-A39D-07,0.191022313454154,0,0.0815763677708547,0.0824630045023847,0,0.188450677448101,0.0150050204130215,0.0147261661352737,0.00302351686636433,0,0,0.0376256772742894,0.0491637287722641,0,0.0419571459702873,0.247787475488807,0,0,0.0454172917451345,0,0,0.0017816141590638,0,0.487567044687764,0.874228936068984
TCGA-K1-A42X-01A-11R-A24X-07,0.111588114395836,0.0118655965650299,0.00380947306928645,0.0413537718108672,0,0.278185874267049,0.0015958112504411,0.00421830956094081,0.00268899493889289,0,0.0171093415354703,0.0116968691515655,0.0335754129077209,0,0.000323451052471174,0.188653873637959,0,0.0163387611408663,0.276996344715603,0,0,0,0,0.233664801402366,0.989451007485537
TCGA-DX-A6YZ-01A-12R-A355-07,0.0509960437057745,0,0,0.0414100746042309,0,0.167952490383205,0,0.00857889798960311,0.00373577101696398,0,0.00773212604464918,0.0225442156218211,0.0671495239451205,0,0.0186729268139965,0.36985172748134,0,0.0568753849672441,0.184500817426052,0,0,0,0,0.582514624574349,0.832935846460163
TCGA-DX-A8BV-01A-11R-A37L-07,0.0725586171879536,0,0.0011670742303075,0.0112748905863651,0,0.154238191524355,0.00232356075408345,0,0,0,0.0533836529346809,0.00303699822954929,0.0548907840352994,0.0817055439290511,0.0248898150656023,0.431262927961745,0,0.0325503867626107,0.0767175567983959,0,0,0,0,0.625679632262274,0.804603962745846
TCGA-QQ-A5V9-01A-11R-A32Q-07,0.0669942393132872,0,0.0112144888278293,0.101869513337638,0,0.113389126973155,0.0116013298616539,0.00121285613370012,0.0389621725906478,0,0.0177454760725571,0.00992698327033026,0.0177978916763371,0.0810873617196939,0.0166970031892547,0.495676728170947,0,0,0.0155911567859965,0.000233672076972529,0,0,0,0.687517196303641,0.761008474589274
TCGA-DX-AB35-01A-21R-A41I-07,0.0653745553394312,0,0.00129540754156613,0.0498118719070762,0,0.189451649070948,0,0.00117270903812862,0.0169399364279495,0,0,0.0768228971679757,0.025570829004493,0.0302717297426256,0.0465701770602608,0.474996316579164,0,0.00388141642567758,0,0.0178405046947044,0,0,0,0.512745624755464,0.859824493604836
TCGA-DX-A3UA-01A-12R-A30C-07,0.0486688389419398,0,0,0.0162739605892573,0,0.166337487405345,0.0174032548819434,0.0140827161085482,0.0150583321566373,0,0.0295151897530299,0,0,0.299241208099417,0.0552833166672592,0.304250432739043,0.00696315387045988,0,0.0269221087871193,0,0,0,0,0.654390113383088,0.774612581855811
TCGA-DX-A6YS-01A-12R-A355-07,0.0933801762391225,0,0,0.00430446814906067,0,0.235145200447635,0,0.0112159218989814,0.0317260542636293,0,0,0.0375266175677863,0.033762534413311,0,0.105335581647578,0.322988004557411,0.0034286426219153,0,0.121186798193569,0,0,0,0,0.355041152653744,0.935472595430351
TCGA-DX-A8BT-01A-11R-A37L-07,0.105595277125365,0,0.0227362195331764,0.0167169864984132,0,0.160832625370257,0,0,0.0106526183931564,0.00764685471619789,0.0327866160316414,0.00908773155697522,0.0208674583386125,0.0369463287271905,0.0421221836302107,0.494937816552192,0,0,0.0390712835266125,0,0,0,0,0.619797421076305,0.804185731524965
TCGA-DX-A7EQ-01A-11R-A466-07,0.0453701439490722,0.0337350728801547,0,0.0799334634007068,0,0.0346323303149233,0,0,0,0,0.0519766449723409,0.03107423624988,0.0232782451160121,0.212662719388418,0.00692097513089924,0.413469730790856,0,0,0.0669464378067371,0,0,0,0,0.2640507441665,0.98761130987493
TCGA-WP-A9GB-01A-11R-A37L-07,0.0779205833324065,0,0,0.0180023638652152,0,0.268398622039433,0,0.108687230991518,0.0561481338938192,0,0.0275853757088736,0.0456818871891413,0.0410314027351821,0.0349818108401212,0.0182118409392492,0.279050227285017,0,0.00913087363072506,0.0151696475492975,0,0,0,0.05,0.165453533192755,1.02316353712145
TCGA-K1-A42W-01A-11R-A24X-07,0.0434177946847742,0,0,0.0322871350485983,0,0.244189580818345,0.00536673955657221,0,0.00858044924298469,0,0.0366001183221758,0,0.0904410473101158,0,0.0447747521375668,0.386108427745932,0,0,0.108233955132935,0,0,0,0,0.595206797202049,0.825137479382317
TCGA-RN-AAAQ-01A-21R-A39D-07,0.0157069923029158,0.00088765847304331,0,0,0,0.140333119245679,0,0,0,0,0.0116255768480899,0.0310173878368195,0.258982449167889,0.00555982194190935,0,0.483421109958952,0,0.0429718623743729,0.00949402185032939,0,0,0,0,0.633871476643886,0.787647089275959
TCGA-HS-A5N8-01A-11R-A26T-07,0.0896830429324331,0,0.00550767397209404,0.0271206128876605,0,0.242232797642383,0.0584161236034809,0.00138505150958122,0,0,0.0367764960927017,0,0.0622564245550421,0,0.000713937831652694,0.42264923158679,0,0.0324265732494181,0.0208320341367621,0,0,0,0,0.49630580109507,0.871731859752231
TCGA-DX-A23Y-01A-11R-A27Q-07,0.0591720522919539,0,0.00150840052303712,0.2256610529805,0,0.0931359538447888,0.0199872268151841,0.0194365243080777,0.0697785464568321,0.0169639539667132,0.0132862191371396,0,0.034177536262462,0.0106810926524099,0.111744575395378,0.324466865365523,0,0,0,0,0,0,0,0.719914145928254,0.742867002912379
TCGA-DX-A1L3-01A-11R-A24X-07,0.0270812071312716,0,8.37238888759217e-05,0.0405957808467724,0,0.167334822720179,0,0.0158487893672494,0.017207737608418,0,0.0111638307548328,0.00792993351491984,0.0431595433691156,0,0.0724521544630212,0.418075123432752,0,0,0.179067352902592,0,0,0,0,0.626127397147036,0.806124821613263
TCGA-K1-A3PN-01A-11R-A22K-07,0.082203142619187,0,0.00176771923850156,0.0236362932348029,0,0.361793335987454,0,0,0,0,0.0447754210433016,0,0.0565253554521453,0,0.0140046773223987,0.251360296115,0.0132779904324336,0.0796557756394814,0.0709999929152946,0,0,0,0,0.431425244327619,0.902055207038394
TCGA-QQ-A8VD-01A-42R-A39D-07,0.0802366608509085,0,0,0.0176093679055761,0.0114746036094137,0.13855822818412,0.00858827059820431,0,0,0,0.0661953856612065,0,0.0158986579641534,0.201273026979738,0.00571237426987066,0.308798136080737,0,0.00861831121090708,0.137036976685165,0,0,0,0,0.445599572423701,0.895236929025849
TCGA-DX-AB30-01A-11R-A39D-07,0.193067087841745,0,0,0.0760514125112288,0,0.113633062804117,0,0.00276011030010403,0.0371816545619654,0,0,0.0293201869734547,0.0292433968252336,0.272774917629199,0.0185477126907315,0.177924751225821,0,0,0.0494957066364002,0,0,0,0,0.337682351662484,0.947042132410111
TCGA-DX-A8BZ-01A-11R-A37L-07,0.00492408051458448,0.0179016683955819,0,0.0102517188292683,0,0.0483830498574149,0.000881165930919825,0,0.00505040997677376,0,0.0164002452566423,0.00133807208675556,0.0079462798802397,0.281524212037825,0.00452104177686545,0.546201566483049,0,0,0.0546764889740799,0,0,0,0,0.833232302104434,0.607385764818281
TCGA-DX-A23T-01A-11R-A26T-07,0.130460028824943,0,0,0.0613416792434825,0,0.297307785811009,0.0143076275390852,0,0.0189500892292522,0,0.0123836231851772,0,0.086691341813241,0,0.0532011149447224,0.287243041334232,0,0,0.0278924794332813,0,0,0.0102211886415749,0,0.422941970813177,0.905466997197222
TCGA-X6-A7WA-01A-12R-A355-07,0.0413125332182586,0,0,0.0151210482824624,0,0.226485370287113,0,0,0.0386895126281943,0,0.026475845975185,0.0158666465384754,0.172982016827487,0.0286864487891526,0.0279771746518445,0.321508574889099,0.0215313778718439,0.00373773219693162,0.0596257178439528,0,0,0,0,0.453478405917907,0.89210122266159
TCGA-3B-A9HZ-01A-11R-A39D-07,0.047799627473749,0,0.00303679125869045,0.074338272983494,0,0.305797969562992,0.00149086220006436,0.00128894949815043,0.00408253080296667,0,0.00751926528146715,0.0139803108550267,0.0631952742761681,0.0101813716757635,0.0452820461988345,0.285221390271386,0,0.0073146906152444,0.129470647046003,0,0,0,0,0.643139872931205,0.801592250366791
TCGA-3B-A9HR-01A-11R-A38C-07,0.0328117417322972,0.0305479284487113,0,0.0187812095628086,0.0190166308041048,0.371741402373873,0,0,0,0,0.0326525863729658,0.0188188317243624,0.0409398698273072,0.133331391837424,0.0056337090643735,0.152644751737851,0.00812672350178967,0,0.134953223012132,0,0,0,0,0.289497834385352,0.965459982521725
TCGA-Z4-AAPF-01A-11R-A39D-07,0.128264966657136,0,0,0.0170202660638169,0,0.227211800757968,0,0.0253218277802987,0.0169507751831118,0,0,0.0280425536105054,0.0105948368673744,0.247188316540664,0.0413441887126451,0.216434463802547,0,0,0,0.0416260040239337,0,0,0,0.57717543055586,0.825975927731403
TCGA-DX-A3U9-01A-11R-A30C-07,0.0431451241044411,0,0,0.0194621732293187,0,0.270039565906386,0,0,0.0100754154393539,0,0.0522981171715053,0.0276843936492072,0.0173075126430139,0.130480345057229,0.0367078038570374,0.230232603186329,0,0,0.162566945756178,0,0,0,0.36,0.0471913496078407,1.06095401570186
