Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-DX-A3U6-01A-11R-A29R-07,0.116144815178712,0,0.00974412428253412,0.219208135772884,0,0.209454679404578,0.031811864890487,0,0,0,0,0.0109062744555713,0.0693695832004728,0.00794764228709869,0.0871042763237648,0.204464389665951,0,0,0.0338442145379471,0,0,0,0,0.481276919109909,0.877034981616707
TCGA-IW-A3M6-01A-11R-A21T-07,0.0939219087763103,0,0,0.065718983787326,0,0.220808572420849,0,0.00422083808265341,0.0503118582265497,0,0.0345182133112811,0,0.0206660774442041,0.0687345759378841,0.028643817980481,0.405298696675919,0,0,0,0.00715645735654179,0,0,0.18,0.0857002491817536,1.05667348439924
TCGA-DX-A2IZ-01A-11R-A21T-07,0.102730313975852,0,0,0.0630460623067204,0.0800528912863144,0.0892988084809199,0.0548827913131329,0.00776833149141669,0,0.00126420074100844,0.0603043020236311,0,0.0632370566221325,0.180529140825886,0.0126792660053715,0.189784309473267,0,0.0553200507288637,0.0293048272051361,0.00663848853594089,0.00315915898440629,0,0.02,0.221610191372568,0.99062204200442
TCGA-3B-A9I1-01A-11R-A39D-07,0.0384924593194398,0,0,0.0246500329047144,0,0.224131328097003,0.00305662683238923,0.00747464561914018,0.0171265308804356,0,0.0314233998862304,0.00796893879586837,0.0102949824427699,0.22029676441194,0.0297696162795158,0.298013591883364,0,0.0400164047915738,0.0465343673821773,0,0.000750310473438635,0,0,0.504742700343347,0.864891799806983
TCGA-DX-A3UE-01A-11R-A30C-07,0.0583065428879211,0,0,0.0203472356844026,0,0.183855771765886,0.0217432759818556,0.0479680313403162,0,0,0.0535396673957065,0,0.131139766491448,0,0.0163791832838629,0.35352783318528,0.0296255678600813,0.0142636656467573,0.0577528427095826,0,0.0115506157669003,0,0,0.350642990909538,0.937083378862455
TCGA-HS-A5N9-01A-11R-A26T-07,0.0309717204467937,0,0.000909555530461931,0.0390322540419044,0,0.162774936412103,0.0332244884513695,0.0124769887935262,0,0,0.0504271525456413,0,0,0.402653549749932,0.0438390661611293,0.18525984190148,0,0,0.0301275055386291,0,0.00830294042703009,0,0,0.523018191077019,0.852320161714255
TCGA-DX-A6BF-01A-11R-A30C-07,0.00278106832541052,0,0,0.0415941486739232,0,0.185900288818447,0,0.00170681240240935,0.0141681746186965,0,0.0114844396646383,0.0444655743980976,0.118157368674993,0,0.0377862881459198,0.519558488453755,0,0.00952307998292408,0.0128742678407853,0,0,0,0,0.606825614165783,0.806663560577476
TCGA-K1-A6RT-01A-32R-A33J-07,0.213344423012199,0.0443501610263301,0,0.116784332460032,0,0.225880973768078,0,0.013955985299415,0.0438427009977932,0,0.00813525728054971,0.0133250621360966,0.0611833700890525,0.0476451230270111,0.0577298053036963,0.12896822489522,0,0,0.024854580704526,0,0,0,0,0.793441643633912,0.697961829715922
TCGA-DX-A48U-01A-11R-A30C-07,0.074929123754458,0,0,0.0392045666110353,0,0.303979052793155,0,0,0,0,0.0145303181599095,0.0157197070422555,0.0337587301273065,0.0137032022530312,0.0196035937326595,0.286625382081761,0,0.00202185052993841,0.19592447291449,0,0,0,0.01,0.308249674076121,0.955724268316346
TCGA-HB-A5W3-01A-11R-A29R-07,0.0562256365831475,0,0.000146648741907603,0.0278152885673496,0,0.291784510100836,0.00118984542346716,0,0,0,0.0259264758498793,0.00453183531367296,0.0471193287525346,0.0328276134268054,0.0361473473652677,0.31280699527422,0.00341173060552595,0.00206429326216175,0.158002450733224,0,0,0,0,0.520752751025275,0.862064931186975
TCGA-3B-A9HS-01A-11R-A39D-07,0.0792767772191335,0,0,0.196107263938153,0,0.205593239052706,0.000455189278619034,0.0371945024213756,0.0323695535833359,0,0,0.0170247561385433,0.050107511794159,0.0458526691792521,0.0517665951778455,0.276408720283573,0,0.00784322193330433,0,0,0,0,0,0.775091694849101,0.711657278043287
